Date,Open,High,Low,Close,Adj Close,Volume
2014-06-06,8.200000,8.480000,8.170000,8.410000,7.741226,1358200
2014-06-09,8.470000,8.780000,8.410000,8.630000,7.943733,1217300
2014-06-10,8.710000,8.850000,8.550000,8.670000,7.980551,1187600
2014-06-11,8.740000,8.800000,8.460000,8.500000,7.824070,913400
2014-06-13,8.490000,8.750000,8.270000,8.550000,7.870093,1136800
2014-06-16,8.630000,8.900000,8.560000,8.800000,8.100213,921500
2014-06-17,8.850000,9.530000,8.850000,9.300000,8.560452,1756800
2014-06-18,9.390000,9.500000,8.970000,8.980000,8.265899,1505600
2014-06-20,9.050000,9.090000,8.750000,8.770000,8.072599,1438800
2014-06-23,8.820000,9.110000,8.810000,8.950000,8.238285,840300
2014-06-24,9.030000,9.210000,8.930000,9.100000,8.376357,1879200
2014-06-25,9.050000,9.200000,8.770000,8.800000,8.100213,809400
2014-06-26,8.860000,9.200000,8.810000,9.100000,8.376357,1407100
2014-06-27,9.080000,9.220000,8.980000,9.000000,8.284309,527400
2014-06-30,8.980000,9.200000,8.950000,9.190000,8.459200,483500
2014-07-01,9.200000,9.520000,9.200000,9.400000,8.652500,1130700
2014-07-02,9.400000,9.490000,9.240000,9.410000,8.661704,689500
2014-07-03,9.420000,9.800000,9.410000,9.760000,8.983872,1580800
2014-07-04,9.750000,9.750000,9.600000,9.660000,8.891826,162200
2014-07-07,9.590000,9.640000,9.480000,9.600000,8.836596,573600
2014-07-08,9.570000,9.600000,9.330000,9.420000,8.670910,754000
2014-07-10,9.330000,9.530000,9.250000,9.400000,8.652500,1161100
2014-07-11,9.360000,9.470000,9.340000,9.430000,8.680115,851200
2014-07-14,9.490000,9.640000,9.360000,9.400000,8.652500,710000
2014-07-15,9.470000,9.480000,9.150000,9.180000,8.449997,1760800
2014-07-16,9.230000,9.310000,9.020000,9.150000,8.422381,580200
2014-07-17,9.170000,9.200000,9.010000,9.080000,8.357946,465900
2014-07-18,9.140000,9.200000,8.790000,8.860000,8.155441,1070900
2014-07-21,8.850000,9.090000,8.850000,9.090000,8.367151,678100
2014-07-22,9.050000,9.160000,8.960000,9.000000,8.284309,648600
2014-07-23,9.050000,9.250000,9.030000,9.070000,8.348742,870700
2014-07-24,9.100000,9.170000,9.020000,9.120000,8.394767,516500
2014-07-25,9.150000,9.180000,8.970000,9.100000,8.376357,1073500
2014-07-28,9.130000,9.130000,8.920000,9.060000,8.339538,638800
2014-07-29,9.080000,9.080000,8.860000,8.900000,8.192260,400800
2014-07-30,8.890000,8.890000,8.620000,8.650000,7.962141,1048800
2014-07-31,8.600000,9.100000,8.490000,8.950000,8.238285,760100
2014-08-01,8.950000,9.030000,8.660000,8.860000,8.155441,1558300
2014-08-04,8.930000,8.970000,8.760000,8.830000,8.127828,780600
2014-08-05,8.800000,9.020000,8.800000,8.920000,8.210670,860500
2014-08-06,8.830000,8.920000,8.680000,8.700000,8.008164,560800
2014-08-07,8.640000,8.790000,8.600000,8.700000,8.008164,521200
2014-08-08,8.480000,8.810000,8.390000,8.690000,7.998960,852300
2014-08-11,8.710000,8.950000,8.710000,8.900000,8.192260,501200
2014-08-12,8.890000,8.940000,8.650000,8.800000,8.100213,691700
2014-08-13,8.820000,8.830000,8.640000,8.800000,8.100213,452800
2014-08-14,8.700000,8.890000,8.690000,8.860000,8.155441,257700
2014-08-15,8.820000,9.080000,8.820000,8.950000,8.238285,931200
2014-08-18,8.980000,9.150000,8.930000,9.000000,8.284309,463700
2014-08-19,9.030000,9.070000,8.900000,9.000000,8.284309,311900
2014-08-20,9.000000,9.010000,8.900000,8.960000,8.247490,181000
2014-08-21,9.000000,9.020000,8.820000,8.820000,8.118622,416800
2014-08-22,8.810000,8.810000,8.420000,8.650000,7.962141,1316200
2014-08-25,8.650000,8.890000,8.610000,8.860000,8.155441,495900
2014-08-26,8.880000,9.070000,8.750000,9.000000,8.284309,651100
2014-08-27,9.090000,9.140000,8.950000,9.070000,8.348742,529400
2014-08-28,9.080000,9.130000,8.990000,9.030000,8.311924,764900
2014-08-29,9.000000,9.070000,8.900000,9.000000,8.284309,625100
2014-09-01,8.990000,9.000000,8.880000,8.970000,8.256695,200800
2014-09-02,9.050000,9.100000,8.910000,9.030000,8.311924,473700
2014-09-03,9.080000,9.300000,9.040000,9.140000,8.413176,871600
2014-09-04,9.210000,9.370000,9.080000,9.090000,8.367151,564900
2014-09-05,9.200000,9.210000,8.650000,8.900000,8.192260,1652000
2014-09-08,8.900000,8.940000,8.690000,8.700000,8.008164,519400
2014-09-09,8.710000,8.710000,8.350000,8.400000,7.732021,1232000
2014-09-10,8.380000,8.440000,7.970000,8.150000,7.501901,896200
2014-09-11,8.200000,8.320000,8.000000,8.250000,7.593949,1048900
